user_id,name,email,phone,dob,address,kyc_status
usr_7258ec9443,Catherine Richardson,zsantana@example.net,(796)698-1940,2004-08-20,"Unit 6123 Box 4505, DPO AA 58849",VERIFIED
usr_d7cdd17d17,Justin Jensen,harold36@example.com,(237)307-5445,1963-05-12,"5730 Miller Tunnel Apt. 928, Martinezburgh, GU 22979",VERIFIED
usr_f2c1decefd,Nicole Holmes,victor75@example.net,(309)279-1872x170,2001-03-05,"53094 Jennifer Burg, East Andreamouth, CO 22077",VERIFIED
usr_4b9f301ecc,Patricia Simmons,tryan@example.org,869-655-9879x910,1962-08-28,"24134 Tonya Field Apt. 000, New Frank, KY 37800",VERIFIED
usr_af8427f9fb,Melissa Parsons PhD,josephfuller@example.org,+1-953-715-4610x053,1999-04-18,"6065 Hernandez Motorway Suite 426, Lake Kyle, IN 68018",VERIFIED
usr_35fb4b1a90,Katherine Morris,kimmiller@example.com,001-604-882-6454,1947-08-29,"96460 Nelson Isle, Kathrynport, MN 02153",VERIFIED
usr_0a41704fa8,Alicia Stevens,christopherstevens@example.org,685.240.6972,1974-12-21,"786 Lisa Route Suite 931, Smithstad, MS 43728",VERIFIED
usr_d856b15bb2,Kyle Love,eric02@example.com,803.595.9711x16153,1947-02-27,"Unit 3553 Box 5960, DPO AE 81076",VERIFIED
usr_4bdb163f08,Tina Davis,karenroberts@example.org,(233)666-5838x1240,1997-10-14,"816 Andrews Park, Doyleville, IL 45258",VERIFIED
usr_e80ba7edcb,Matthew Fowler,stephaniewiley@example.com,392-812-5563,1969-04-04,"5991 Owens Fort Apt. 205, West Christopher, WY 40534",VERIFIED
usr_c1bf8d456b,Maureen Brown,clarkricky@example.net,880.390.9237,1992-07-14,"374 Stephanie Walk Suite 904, New Tonyaton, MH 87932",VERIFIED
usr_cc0f4a22f4,Shelly Parker,ijackson@example.com,(268)287-4742,1969-03-26,"4564 Matthew Cape Suite 265, West Andreton, MD 81592",VERIFIED
usr_b5837a64f9,Jennifer Smith,john90@example.org,9553630856,1958-05-17,"703 Jenkins Green Apt. 863, North Brian, MN 75211",VERIFIED
